               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.042322,            0.018484,           0.0085701,             0.91186,             0.98535,             0.99515,             0.57167,            0.026589,            0.007177,           0.0013817,           0.0033245,           0.0033245,             0.07008
                   1,            0.029379,            0.010887,           0.0017354,             0.99867,                   1,             0.99561,             0.87861,            0.014483,           0.0048344,           0.0013612,           0.0066565,           0.0066565,            0.040078
                   2,            0.027199,            0.010299,           0.0017688,             0.98446,                   1,             0.99518,                0.67,            0.022863,           0.0071773,           0.0010565,           0.0099832,           0.0099832,            0.010072
                   3,            0.025036,            0.011174,           0.0024426,             0.99466,                   1,             0.99516,             0.81771,            0.014411,           0.0067566,          0.00045511,           0.0099822,           0.0099822,           0.0099822
                   4,            0.022177,            0.011078,           0.0019438,             0.99908,                   1,             0.99529,             0.84856,            0.010298,           0.0039522,           0.0004013,           0.0099822,           0.0099822,           0.0099822
                   5,            0.021761,            0.010869,           0.0015585,             0.95117,             0.97621,             0.99536,             0.83743,            0.015141,           0.0059891,           0.0018259,           0.0099685,           0.0099685,           0.0099685
                   6,            0.019832,            0.010116,           0.0010453,             0.99881,                   1,             0.99523,             0.91777,           0.0088222,           0.0050272,          0.00060256,           0.0099508,           0.0099508,           0.0099508
                   7,            0.021143,            0.010479,           0.0014048,             0.99282,                   1,             0.99528,             0.86857,            0.014204,           0.0050781,          0.00024646,           0.0099291,           0.0099291,           0.0099291
                   8,            0.019264,           0.0099246,          0.00076831,             0.99924,                   1,             0.99562,              0.9336,           0.0071875,           0.0043866,          0.00089444,           0.0099037,           0.0099037,           0.0099037
                   9,            0.019132,           0.0097896,          0.00093768,             0.99994,                   1,             0.99552,             0.92288,           0.0069022,           0.0037918,          0.00038542,           0.0098743,           0.0098743,           0.0098743
                  10,            0.018318,           0.0091908,          0.00041984,             0.99972,                   1,             0.99604,             0.94695,           0.0062191,           0.0033221,          0.00043855,           0.0098412,           0.0098412,           0.0098412
                  11,            0.018529,            0.008976,          0.00037241,             0.99931,                   1,             0.99584,             0.94762,           0.0071835,           0.0033143,          0.00037234,           0.0098042,           0.0098042,           0.0098042
                  12,            0.017347,            0.008723,          0.00035807,              0.9993,                   1,             0.99633,             0.89276,           0.0065193,           0.0032478,          0.00023164,           0.0097635,           0.0097635,           0.0097635
                  13,            0.017143,           0.0086648,          0.00033569,             0.99984,                   1,             0.99617,             0.89885,           0.0064384,           0.0044181,          0.00028731,           0.0097191,           0.0097191,           0.0097191
                  14,            0.016359,            0.008527,          0.00034918,             0.99704,                   1,             0.99556,             0.92556,           0.0066952,           0.0050319,          0.00030896,            0.009671,            0.009671,            0.009671
                  15,            0.016282,           0.0088806,          0.00058127,             0.99938,                   1,             0.99552,             0.90705,           0.0073867,           0.0047055,          0.00031582,           0.0096193,           0.0096193,           0.0096193
                  16,            0.015963,           0.0086932,          0.00056631,             0.99882,                   1,             0.99543,             0.88753,            0.010576,           0.0042612,          0.00025848,            0.009564,            0.009564,            0.009564
                  17,             0.01514,           0.0087371,          0.00062827,             0.99983,                   1,             0.99615,             0.93393,           0.0076045,           0.0030504,          0.00041231,           0.0095052,           0.0095052,           0.0095052
                  18,            0.016253,           0.0086188,          0.00038239,             0.99985,                   1,              0.9964,             0.92446,           0.0066328,           0.0039337,          0.00032939,            0.009443,            0.009443,            0.009443
                  19,            0.015095,           0.0084133,          0.00038548,             0.99969,                   1,             0.99587,             0.95824,           0.0047937,             0.00331,          0.00027273,           0.0093773,           0.0093773,           0.0093773
                  20,            0.014913,           0.0083563,          0.00032404,             0.99972,                   1,               0.996,             0.94724,           0.0052789,           0.0042851,          0.00033593,           0.0093083,           0.0093083,           0.0093083
                  21,            0.013693,           0.0082686,          0.00028919,             0.99965,                   1,             0.99619,             0.90335,           0.0078032,           0.0034704,          0.00035645,           0.0092361,           0.0092361,           0.0092361
                  22,            0.013707,           0.0080552,          0.00029464,             0.99978,                   1,             0.99651,              0.9542,           0.0045752,           0.0036584,          0.00032662,           0.0091606,           0.0091606,           0.0091606
                  23,            0.012784,           0.0080229,          0.00029478,              0.9989,                   1,             0.99662,             0.92952,           0.0059846,           0.0041932,          0.00032031,           0.0090821,           0.0090821,           0.0090821
                  24,            0.013244,           0.0080158,          0.00033096,             0.99966,                   1,              0.9967,             0.93364,           0.0057794,           0.0029277,          0.00031997,           0.0090004,           0.0090004,           0.0090004
                  25,            0.013557,           0.0078479,            0.000303,             0.99984,                   1,             0.99686,              0.9173,           0.0058509,           0.0036522,          0.00033839,           0.0089159,           0.0089159,           0.0089159
                  26,            0.012661,           0.0077468,          0.00028886,             0.99982,                   1,             0.99701,             0.91707,           0.0062217,           0.0040499,          0.00041552,           0.0088284,           0.0088284,           0.0088284
                  27,            0.012486,           0.0077571,          0.00035219,             0.99975,                   1,             0.99646,             0.96216,           0.0052527,           0.0033087,          0.00032143,           0.0087382,           0.0087382,           0.0087382
                  28,            0.012928,           0.0077162,          0.00031442,              0.9992,                   1,             0.99607,             0.89667,           0.0065936,           0.0048056,          0.00025288,           0.0086452,           0.0086452,           0.0086452
                  29,            0.013063,           0.0076447,          0.00027236,             0.99911,                   1,             0.99635,             0.97845,           0.0047069,           0.0033472,          0.00020914,           0.0085497,           0.0085497,           0.0085497
                  30,            0.012707,            0.007624,          0.00031219,             0.99926,                   1,             0.99706,             0.91693,           0.0058747,           0.0025295,          0.00031429,           0.0084516,           0.0084516,           0.0084516
                  31,            0.013282,           0.0083089,          0.00068553,             0.99834,                   1,             0.99563,             0.91561,           0.0057489,             0.00438,            0.001038,           0.0083511,           0.0083511,           0.0083511
                  32,            0.012438,           0.0081855,          0.00028943,             0.99992,                   1,             0.99686,             0.98187,            0.005235,           0.0025641,          0.00017099,           0.0082483,           0.0082483,           0.0082483
                  33,             0.01214,           0.0078557,          0.00024339,             0.99986,                   1,             0.99639,             0.95705,            0.005265,           0.0030642,          0.00033251,           0.0081433,           0.0081433,           0.0081433
                  34,            0.013018,           0.0078008,           0.0003803,             0.99909,                   1,             0.99618,              0.9181,           0.0056832,           0.0030912,           0.0002487,           0.0080362,           0.0080362,           0.0080362
                  35,            0.012423,           0.0076585,          0.00021589,             0.99983,                   1,             0.99608,             0.92913,           0.0061335,           0.0026212,          0.00021115,            0.007927,            0.007927,            0.007927
                  36,            0.011979,           0.0074615,          0.00025567,             0.99951,                   1,             0.99623,             0.93108,            0.006283,           0.0023345,          0.00027273,            0.007816,            0.007816,            0.007816
                  37,            0.011423,           0.0074841,          0.00021649,             0.99908,                   1,             0.99644,             0.94821,           0.0047486,            0.002975,          0.00026392,           0.0077031,           0.0077031,           0.0077031
                  38,            0.011424,           0.0074162,          0.00020113,             0.99976,                   1,             0.99571,             0.91788,           0.0056811,           0.0026771,          0.00016988,           0.0075886,           0.0075886,           0.0075886
                  39,            0.011228,           0.0072515,          0.00023072,             0.99944,                   1,             0.99722,             0.93638,           0.0041509,           0.0025305,          0.00018701,           0.0074725,           0.0074725,           0.0074725
                  40,            0.010702,           0.0072851,          0.00020427,             0.99912,                   1,             0.99669,             0.92729,           0.0070399,            0.002835,          0.00016766,            0.007355,            0.007355,            0.007355
                  41,            0.011218,           0.0071797,          0.00019256,             0.99992,                   1,             0.99699,             0.97937,           0.0047711,           0.0025899,          0.00019231,           0.0072361,           0.0072361,           0.0072361
                  42,            0.011128,           0.0070801,          0.00020313,              0.9999,                   1,             0.99645,             0.94034,           0.0049449,           0.0025731,          0.00017417,            0.007116,            0.007116,            0.007116
                  43,            0.010868,           0.0071408,          0.00019544,             0.99989,                   1,              0.9963,             0.92035,           0.0052421,           0.0029024,          0.00014882,           0.0069948,           0.0069948,           0.0069948
                  44,             0.01064,           0.0070253,           0.0001992,             0.99985,                   1,             0.99681,             0.95175,           0.0043052,           0.0024374,          0.00016552,           0.0068726,           0.0068726,           0.0068726
                  45,             0.01076,           0.0070038,          0.00018582,             0.99984,                   1,             0.99705,             0.92957,           0.0053481,           0.0027696,           0.0001224,           0.0067495,           0.0067495,           0.0067495
                  46,            0.011444,           0.0072035,          0.00048956,              0.9983,                   1,             0.99639,             0.95168,           0.0054155,           0.0026083,          8.7465e-05,           0.0066257,           0.0066257,           0.0066257
                  47,            0.010329,           0.0070167,          0.00022103,             0.99971,                   1,             0.99668,             0.91634,           0.0054445,           0.0037203,          0.00012414,           0.0065013,           0.0065013,           0.0065013
                  48,            0.010338,           0.0070093,          0.00018501,             0.99982,                   1,             0.99654,             0.92345,           0.0056999,           0.0024264,          9.3697e-05,           0.0063764,           0.0063764,           0.0063764
                  49,            0.010161,           0.0067769,           0.0001698,             0.99993,                   1,             0.99668,             0.92124,             0.00512,           0.0033314,          0.00010311,           0.0062512,           0.0062512,           0.0062512
                  50,            0.010036,           0.0067203,          0.00016351,             0.99976,                   1,             0.99704,             0.93281,           0.0052176,           0.0024994,          8.0633e-05,           0.0061256,           0.0061256,           0.0061256
                  51,             0.01003,           0.0066028,          0.00017252,             0.99976,                   1,             0.99684,             0.93669,           0.0053464,           0.0027106,           7.789e-05,               0.006,               0.006,               0.006
                  52,           0.0098324,           0.0067354,          0.00015751,             0.99922,                   1,             0.99723,              0.9307,            0.005236,           0.0026636,          9.6965e-05,           0.0058744,           0.0058744,           0.0058744
                  53,           0.0098841,           0.0066853,          0.00015938,             0.99879,                   1,             0.99708,             0.97803,           0.0043895,           0.0024816,          7.8484e-05,           0.0057488,           0.0057488,           0.0057488
                  54,           0.0095544,           0.0065663,          0.00016705,             0.99935,                   1,             0.99674,             0.94409,           0.0054411,           0.0025062,          9.4562e-05,           0.0056236,           0.0056236,           0.0056236
                  55,           0.0095508,           0.0065037,          0.00015169,             0.99942,                   1,             0.99743,              0.9242,           0.0060858,           0.0031433,          7.8189e-05,           0.0054987,           0.0054987,           0.0054987
                  56,           0.0098865,           0.0065102,          0.00015728,             0.99981,                   1,             0.99732,             0.89975,           0.0063223,           0.0028274,          7.5643e-05,           0.0053743,           0.0053743,           0.0053743
                  57,           0.0093895,           0.0064668,           0.0001442,             0.99977,                   1,             0.99708,             0.91989,           0.0050374,           0.0025755,           8.717e-05,           0.0052505,           0.0052505,           0.0052505
                  58,           0.0093873,           0.0064483,           0.0001629,             0.99945,                   1,             0.99687,             0.92023,           0.0049202,           0.0023312,          0.00012502,           0.0051274,           0.0051274,           0.0051274
                  59,           0.0092551,           0.0063946,          0.00012929,             0.99967,                   1,             0.99681,             0.91839,           0.0051017,           0.0026017,          7.0211e-05,           0.0050052,           0.0050052,           0.0050052
                  60,           0.0097006,           0.0066296,          0.00017101,             0.99945,                   1,             0.99681,             0.96844,            0.004673,           0.0022725,          6.3932e-05,            0.004884,            0.004884,            0.004884
                  61,           0.0092429,            0.006333,          0.00013891,             0.99964,                   1,             0.99711,             0.90638,           0.0051977,           0.0023972,           6.095e-05,           0.0047639,           0.0047639,           0.0047639
                  62,           0.0092508,           0.0062387,          0.00013928,             0.99983,                   1,             0.99703,              0.9146,           0.0056547,           0.0028947,          5.6572e-05,            0.004645,            0.004645,            0.004645
                  63,            0.008794,           0.0062344,          0.00012988,             0.99969,                   1,             0.99701,             0.91756,           0.0053958,           0.0024781,          5.6484e-05,           0.0045275,           0.0045275,           0.0045275
                  64,           0.0086914,            0.006242,          0.00012303,             0.99972,                   1,             0.99712,             0.94261,           0.0051308,           0.0028523,          5.1657e-05,           0.0044114,           0.0044114,           0.0044114
                  65,            0.009034,           0.0061219,          0.00011678,             0.99989,                   1,             0.99708,              0.9025,           0.0061442,           0.0033406,          6.1032e-05,           0.0042969,           0.0042969,           0.0042969
                  66,           0.0087156,           0.0059711,          0.00012475,             0.99979,                   1,             0.99685,             0.91904,           0.0059436,           0.0026843,           5.907e-05,            0.004184,            0.004184,            0.004184
                  67,           0.0084622,           0.0060633,          0.00012845,             0.99975,                   1,             0.99687,             0.92755,           0.0053075,           0.0029951,          5.5366e-05,            0.004073,            0.004073,            0.004073
                  68,           0.0087985,           0.0060527,          0.00013229,             0.99911,                   1,             0.99662,             0.91455,           0.0053423,           0.0025172,          5.8905e-05,           0.0039638,           0.0039638,           0.0039638
                  69,           0.0085883,           0.0061029,          0.00011021,             0.99914,                   1,             0.99681,             0.93285,           0.0051863,           0.0027888,          5.2404e-05,           0.0038567,           0.0038567,           0.0038567
                  70,           0.0081225,           0.0058766,          0.00010307,             0.99939,                   1,             0.99682,             0.92398,           0.0055719,           0.0030239,          5.3725e-05,           0.0037517,           0.0037517,           0.0037517
                  71,           0.0082511,           0.0060035,          9.2078e-05,             0.99937,                   1,             0.99713,             0.94857,           0.0051351,           0.0034786,          5.2481e-05,           0.0036489,           0.0036489,           0.0036489
                  72,           0.0083684,           0.0059175,          9.4636e-05,              0.9997,                   1,             0.99726,             0.93289,            0.004923,           0.0038982,          4.7041e-05,           0.0035484,           0.0035484,           0.0035484
                  73,           0.0082661,            0.005967,          0.00010155,             0.99954,                   1,             0.99747,             0.92873,           0.0054704,           0.0042974,          5.0587e-05,           0.0034503,           0.0034503,           0.0034503
                  74,           0.0081727,           0.0058475,          8.8573e-05,             0.99962,                   1,             0.99712,             0.91998,           0.0049775,           0.0033529,          4.7712e-05,           0.0033548,           0.0033548,           0.0033548
                  75,           0.0083405,           0.0058717,          0.00010531,             0.99992,                   1,             0.99724,             0.92351,           0.0044999,           0.0038858,           5.367e-05,           0.0032618,           0.0032618,           0.0032618
                  76,            0.008037,             0.00576,          9.6663e-05,             0.99996,                   1,              0.9969,             0.93689,           0.0050426,           0.0036791,          4.8206e-05,           0.0031716,           0.0031716,           0.0031716
                  77,           0.0081744,           0.0057621,          0.00010013,             0.99962,                   1,             0.99701,             0.93502,           0.0051126,            0.003082,           4.116e-05,           0.0030841,           0.0030841,           0.0030841
                  78,           0.0080631,           0.0058034,          9.6443e-05,             0.99948,                   1,             0.99785,              0.9429,           0.0050487,           0.0031448,          4.3276e-05,           0.0029996,           0.0029996,           0.0029996
